filename,rel_path,case_id,court,date,eda_label,est_tokens
KS_Bratislava_4Cob_57_2015_00_dokument.pdf,data/01_raw_pdfs/4Cob_57_2015/KS_Bratislava_4Cob_57_2015_00_dokument.pdf,4Cob/57/2015,KS Bratislava,2017-04-13,1_GOLD_MODERATION,4840
KS_Bratislava_4Cob_216_2015_00_dokument.pdf,data/01_raw_pdfs/4Cob_216_2015/KS_Bratislava_4Cob_216_2015_00_dokument.pdf,4Cob/216/2015,KS Bratislava,2016-11-03,3_PENALTY_NO_MODERATION,6052
KS_Žilina_14Cob_109_2017_00_dokument.pdf,data/01_raw_pdfs/14Cob_109_2017/KS_Žilina_14Cob_109_2017_00_dokument.pdf,14Cob/109/2017,KS Žilina,2018-10-11,1_GOLD_MODERATION,27672
KS_Banská_Bystrica_42Cob_94_2024_00_dokument.pdf,data/01_raw_pdfs/42Cob_94_2024/KS_Banská_Bystrica_42Cob_94_2024_00_dokument.pdf,42Cob/94/2024,KS Banská Bystrica,2025-09-09,3_PENALTY_NO_MODERATION,16698
KS_Bratislava_3Cob_122_2018_00_dokument.pdf,data/01_raw_pdfs/3Cob_122_2018/KS_Bratislava_3Cob_122_2018_00_dokument.pdf,B2-22Cb/259/2016,KS Bratislava,2018-10-24,1_GOLD_MODERATION,6274
KS_Žilina_13Cob_323_2012_00_dokument.pdf,data/01_raw_pdfs/13Cob_323_2012/KS_Žilina_13Cob_323_2012_00_dokument.pdf,13Cob/323/2012,KS Žilina,2013-03-13,1_GOLD_MODERATION,10705
KS_Košice_4Cob_148_2022_00_dokument.pdf,data/01_raw_pdfs/4Cob_148_2022/KS_Košice_4Cob_148_2022_00_dokument.pdf,4Cob/148/2022,KS Košice,2023-01-25,1_GOLD_MODERATION,9827
KS_Prešov_6Cob_18_2017_00_dokument.pdf,data/01_raw_pdfs/6Cob_18_2017/KS_Prešov_6Cob_18_2017_00_dokument.pdf,KK-8Cb/53/2015,KS Prešov,2018-05-31,1_GOLD_MODERATION,7369
KS_Košice_3Cob_239_2012_00_dokument.pdf,data/01_raw_pdfs/3Cob_239_2012/KS_Košice_3Cob_239_2012_00_dokument.pdf,3Cob/239/2012,KS Košice,2013-09-30,1_GOLD_MODERATION,5939
KS_Košice_4Cob_144_2015_00_dokument.pdf,data/01_raw_pdfs/4Cob_144_2015/KS_Košice_4Cob_144_2015_00_dokument.pdf,4Cob/144/2015,KS Košice,2016-03-18,1_GOLD_MODERATION,5817
