id|spisova_znacka|datum_vydania|sudca|kolegium|merito|najdeny_kontext_301|cesta_k_pdf|url_na_web
238345|5Obdo/14/2023|2024-04-25|JUDr. Andrea Moravčíková|2|500 000 eur s prísl.| ohľadom pravosti tejto listiny.  7. Súd prvej inštancie sa stotožnil so záverom znaleckého posudku Ing. M., ohľadne uplatneného opčného kontraktu, že tento nebol uplatnený platne. S poukazom na ust. § 301 zák. č. 513/1991 Zb. Obchodný zákonník v platnom znení (ďalej aj „ObZ“) a na vykonané dokazovanie dospel k záveru, že zmluvnými stranami dohodnutá zmluvná pokuta nie je neprimerane vysoká, vzhľadom n|rozhodnutia_301_pdf_BBB/238345_5Obdo_14_2023.pdf|https://www.nsud.sk3fd/752730.d5c13d.pdf
236208|2Obdo/25/2023|2023-12-14|JUDr. Beáta Miničová|2|569,89 eur s prísl.|il súdu prvej inštancie na ďalšie konanie. V zrušujúcom uznesení odvolací súd uložil súdu prvej inštancie povinnosť, aby posúdil zmluvnú pokutu uplatnenú žalobkyňou vo výške 461,66 eura aj podľa ust. § 301 zákona č. 513/1991 Zb. Obchodného zákonníka v znení neskorších predpisov (ďalej len „ObZ“). V ďalšom konaní mal podľa odvolacieho súdu okresný súd vec opätovne prejednať a vo veci rozhodnúť rozsudkom|rozhodnutia_301_pdf_BBB/236208_2Obdo_25_2023.pdf|https://www.nsud.skea9/733860.d26eb1.pdf
235703|2Obdo/37/2022|2023-10-31|Mgr. Soňa Pekarčíková|2|68 334,96 eur s prísl.|ype v Občianskom zákonníku a týmto zákonom. 67. Podľa § 544 ods. 2 OZ,  zmluvnú pokutu možno dojednať len písomne a v dojednaní musí byť určená výška pokuty alebo určený spôsob jej určenia. 68. Podľa § 301 ObZ, neprimerane vysokú zmluvnú pokutu môže súd znížiť s prihliadnutím na hodnotu a význam zabezpečovanej povinnosti, a to až do výšky škody, ktorá vznikla do doby súdneho rozhodnutia porušením zmluv|rozhodnutia_301_pdf_BBB/235703_2Obdo_37_2022.pdf|https://www.nsud.skace/723821.ec414e.pdf
233956|2Obdo/31/2022|2023-05-30|JUDr. Beáta Miničová|2|zrušenie zápisu údajov do obchodného registra|dostatok procesnej podmienky, ktorý nemožno odstrániť, súd konanie zastaví (§ 161 ods. 2 CSP). 16. Podľa ust. § 7 ods. 1 CMP, účastníkom je ten, koho tento zákon za účastníka označuje. 17. Podľa ust. § 301 ods. 1 CMP, účastníkom konania o zrušenie zápisu údajov do obchodného registra je navrhovateľ, zapísaná osoba a osoba, ktorej údajov sa návrh týka. 18. Podľa ust. § 61 CSP, má procesnú subjektivitu t|rozhodnutia_301_pdf_BBB/233956_2Obdo_31_2022.pdf|https://www.nsud.sk620/702544.27078c.pdf
233884|1Obdo/80/2022|2023-05-23|JUDr. Miroslava Janečková|2|1 000 eur s prísl.| Žalovaná namietala (okrem iného) aj neprimeranosť zmluvnej pokuty vo výške 10-násobku dohodnutej prepravy. Súd mal za to, že v posudzovanom prípade je potrebné uplatniť moderačné právo súdu v zmysle § 301 Obchodného zákonníka a neprimerane vysokú zmluvnú pokutu znížiť s ohľadom na hodnotu a význam zabezpečovanej povinnosti.  8. Súd sa stotožnil s argumentáciou žalovanej, že akákoľvek zavedená prax med|rozhodnutia_301_pdf_BBB/233884_1Obdo_80_2022.pdf|https://www.nsud.skd7d/701744.654e81.pdf
233538|4Obdo/65/2022|2023-03-30|JUDr. Lenka Praženková|2|115 903,10 eur s prísl.|92900019, č. 3892900065, č. 3892900153, č. 3892900210 a č. 3892900220. 3. Súd prvej inštancie vec právne posúdil podľa § 536, § 537 ods. 1, 2, § 546 ods. 1, § 548 ods. 1, § 554 ods. 1, § 558, § 364 a § 301 Obchodného zákonníka (ďalej len „ObchZ“), upravujúcich povinnosti zhotoviteľa a objednávateľa diela, započítanie pohľadávok a zmluvnú pokutu, súčasne poukazom na článok VI. bod 2 písm. a/ zmluvy o di|rozhodnutia_301_pdf_BBB/233538_4Obdo_65_2022.pdf|https://www.nsud.sk5e4/694149.2fde2d.pdf
219818|5MObdo/1/2015|2015-10-28|JUDr. Darina Ličková|2|102 901,15 eur s prísl.|ds. 1, 2, § 548 ods. 1 Obchodného zákonníka, ust. § 41, § 37 ods. 1, § 39, § 35 ods. 3 Občianskeho zákonníka, ďalej ust. § 1  ods. 2 Obchodného zákonníka, ust. § 544 ods. 1, 2 Občianskeho zákonníka a § 301 Obchodného zákonníka. Poukázal na znenie článku V. bod 3, 4 predmetnej zmluvy, ďalej  na ust. § 302, § 344, § 351 ods. 1, 2, § 365, § 369 ods. 1, 2 Obchodného zákonníka  a vzhľadom na zistené skutočn|rozhodnutia_301_pdf_BBB/219818_5MObdo_1_2015.pdf|https://www.nsud.skd3b/610902.0b4273.pdf
218911|1Obdo/84/2021|2022-09-27|JUDr. Miroslava Janečková|2|2 400 eur s prísl.|yslovil záver, že potom žalobcovi patrí nárok na zaplatenie dohodnutej zmluvnej pokuty. Na základe návrhu žalovanej súd preskúmal, či sú naplnené podmienky moderácie zmluvnej pokuty podľa ustanovenia § 301 Obchodného zákonníka, ktorými sú najmä hodnota a význam zabezpečovanej povinnosti, hospodárska pozícia zmluvných strán pri uzatváraní zmluvy, spôsob zapracovania zmluvnej pokuty do zmluvy, reciprocit|rozhodnutia_301_pdf_BBB/218911_1Obdo_84_2021.pdf|https://www.nsud.ske6d/641414.3dc850.pdf
217585|4Obdo/61/2020|2021-11-30|JUDr. Lenka Praženková|2|7 262,78 eur s prísl.|ý Občiansky zákonník“). 7.  Vzhľadom na vyššie uvedené skutočnosti a citované zákonné ustanovenia (§ 1 ods. 1, § 205 ods.1, § 219 ods. 1, 2, § 220 ods. 2, § 365 ods. 1, § 296 ods. 1, 2, § 298 ods. 1, § 301/A ods. 2 a ods. 3 Maďarského Občianskeho zákonníka ako aj § 147 ods. 2 CSP) súd prvej inštancie doplnil dokazovanie v zmysle zrušujúceho rozhodnutia Krajského súdu v Košiciach a mal za preukázané, že|rozhodnutia_301_pdf_BBB/217585_4Obdo_61_2020.pdf|https://www.nsud.skd59/642745.305f9d.pdf
216579|4Obdo/29/2021|2022-01-28|JUDr. Alena Priecelová|2|115 903,10 eur s prísl.|892900019, č. 3892900065, č. 3892900153, č. 3892900210 a č. 3892900220. 3. Súd prvej inštancie vec právne posúdil podľa § 536, § 537 ods. 1, 2, § 546 ods. 1, § 548 ods. 1, § 554 ods. 1, § 558, § 364, § 301 Obchodného zákonníka (ďalej len „ObchZ“), upravujúcich povinnosti zhotoviteľa a objednávateľa diela, započítanie pohľadávok a zmluvnú pokutu), súčasne poukazom na článok VI. bod 2 písm. a/ zmluvy o d|rozhodnutia_301_pdf_BBB/216579_4Obdo_29_2021.pdf|https://www.nsud.sk14d/642422.696786.pdf
